rank,title,revenue,year,title_clean
518,Ready Player One,137715350,2018,ready player one
519,The Conjuring,137446368,2013,the conjuring
520,Click,137355633,2006,click
521,Five Nights at Freddy's,137275620,2023,five nights at freddy's
522,Demon Slayer: Kimetsu No Yaiba Infinity Castle,136950340,2025,demon slayer: kimetsu no yaiba infinity castle
523,The Green Mile,136801374,1999,the green mile
524,Ransom,136492681,1996,ransom
525,The Godfather,136381073,1972,the godfather
526,Godzilla,136314294,1998,godzilla
527,101 Dalmatians,136189294,1996,101 dalmatians
528,Argo,136025503,2012,argo
529,Anger Management,135645823,2003,anger management
530,Chicken Little,135386665,2005,chicken little
531,Teenage Mutant Ninja Turtles,135384756,1990,teenage mutant ninja turtles
532,Close Encounters of the Third Kind,135189114,1977,close encounters of the third kind
533,Patch Adams,135026902,1998,patch adams
534,Ride Along,134938200,2014,ride along
535,The Incredible Hulk,134806913,2008,the incredible hulk
536,Live Free or Die Hard,134529403,2007,live free or die hard
537,Wanted,134508551,2008,wanted
538,Identity Thief,134506920,2013,identity thief
539,Superman,134478449,1978,superman
540,The Rock,134069511,1996,the rock
541,Mission: Impossible III,134029801,2006,mission: impossible iii
542,Grown Ups 2,133668525,2013,grown ups 2
543,Troy,133378256,2004,troy
544,Angels & Demons,133375846,2009,angels & demons
545,Alvin and the Chipmunks: Chipwrecked,133110742,2011,alvin and the chipmunks: chipwrecked
546,Bringing Down the House,132716677,2003,bringing down the house
547,The Wolverine,132556852,2013,the wolverine
548,Wonder,132422809,2017,wonder
549,The Departed,132399394,2006,the departed
550,Hulk,132177234,2003,hulk
551,Silver Linings Playbook,132092958,2012,silver linings playbook
552,Minority Report,132072926,2002,minority report
553,Fantastic Four: Rise of the Silver Surfer,131921738,2007,fantastic four: rise of the silver surfer
554,The Last Airbender,131772187,2010,the last airbender
555,Rio 2,131538435,2014,rio 2
556,Lara Croft: Tomb Raider,131168070,2001,lara croft: tomb raider
557,The Silence of the Lambs,130742922,1991,the silence of the lambs
558,"Honey, I Shrunk the Kids",130724172,1989,"honey, i shrunk the kids"
559,The Flintstones,130531208,1994,the flintstones
560,Lethal Weapon 4,130444603,1998,lethal weapon 4
561,Get Smart,130319208,2008,get smart
562,The Divergent Series: Insurgent,130179072,2015,the divergent series: insurgent
563,The Peanuts Movie,130178411,2015,the peanuts movie
564,Transformers: The Last Knight,130168683,2017,transformers: the last knight
565,American Gangster,130164645,2007,american gangster
566,American Beauty,130096601,1999,american beauty
567,An Officer and a Gentleman,129795554,1982,an officer and a gentleman
568,Ghostbusters: Afterlife,129471867,2021,ghostbusters: afterlife
569,The Ring,129128133,2002,the ring
570,The Nutty Professor,128814019,1996,the nutty professor
571,"Crouching Tiger, Hidden Dragon",128530421,2000,"crouching tiger, hidden dragon"
572,Borat,128505958,2006,borat
573,Ghostbusters,128350574,2016,ghostbusters
574,Kingsman: The Secret Service,128261724,2015,kingsman: the secret service
575,Robots,128200012,2005,robots
576,Coming to America,128152301,1988,coming to america
577,Shutter Island,128012934,2010,shutter island
578,Into the Woods,128002372,2014,into the woods
579,Rocky IV,127873716,1985,rocky iv
580,Enchanted,127807262,2007,enchanted
581,Five Nights at Freddy's 2,127730290,2025,five nights at freddy's 2
582,Migration,127630880,2023,migration
583,The Curious Case of Benjamin Button,127509326,2008,the curious case of benjamin button
584,Central Intelligence,127440871,2016,central intelligence
585,Anchorman 2: The Legend Continues,127352707,2013,anchorman 2: the legend continues
586,Sweet Home Alabama,127223418,2002,sweet home alabama
587,Bumblebee,127195589,2018,bumblebee
588,Dumb and Dumber,127190327,1994,dumb and dumber
589,2 Fast 2 Furious,127154901,2003,2 fast 2 furious
590,My Best Friend's Wedding,127120029,1997,my best friend's wedding
591,Super 8,127004179,2011,super 8
592,The World Is Not Enough,126943684,1999,the world is not enough
593,Sleepless in Seattle,126808165,1993,sleepless in seattle
594,Smokey and the Bandit,126737428,1977,smokey and the bandit
595,Lucy,126663600,2014,lucy
596,The Legend of Tarzan,126643061,2016,the legend of tarzan
597,Bee Movie,126631277,2007,bee movie
598,Prometheus,126477084,2012,prometheus
599,The Housemaid,126432462,2025,the housemaid
600,Safe House,126373434,2012,safe house
601,Mr. Deeds,126293452,2002,mr. deeds
602,The Truman Show,125618201,1998,the truman show
603,Erin Brockovich,125595205,2000,erin brockovich
604,Ocean's Twelve,125544280,2004,ocean's twelve
605,Terminator Salvation,125322469,2009,terminator salvation
606,Charlie's Angels,125305545,2000,charlie's angels
607,Tomorrow Never Dies,125304276,1997,tomorrow never dies
608,Lone Survivor,125095601,2013,lone survivor
609,Sully,125070033,2016,sully
610,Rocky III,125049125,1982,rocky iii
611,The Vow,125014030,2012,the vow
612,Life of Pi,124987023,2012,life of pi
613,The Fault in Our Stars,124872350,2014,the fault in our stars
614,Cloudy with a Chance of Meatballs,124870275,2009,cloudy with a chance of meatballs
615,The Devil Wears Prada,124740460,2006,the devil wears prada
616,Something's Gotta Give,124728738,2003,something's gotta give
617,Aquaman and the Lost Kingdom,124481226,2023,aquaman and the lost kingdom
618,Traffic,124115725,2000,traffic
619,The Birdcage,124060553,1996,the birdcage
620,City Slickers,124033791,1991,city slickers
621,"Good Morning, Vietnam",123922370,1987,"good morning, vietnam"
622,Rango,123477607,2011,rango
623,Nutty Professor II: The Klumps,123309890,2000,nutty professor ii: the klumps
624,Nope,123277080,2022,nope
625,The Good Dinosaur,123087120,2015,the good dinosaur
626,G.I. Joe: Retaliation,122523060,2013,g.i. joe: retaliation
627,Clear and Present Danger,122187717,1994,clear and present danger
628,The Bodyguard,122046449,1992,the bodyguard
629,The Hunt for Red October,122012643,1990,the hunt for red october
630,Wayne's World,121697323,1992,wayne's world
631,The Bourne Identity,121661683,2002,the bourne identity
632,Free Guy,121626598,2021,free guy
633,Scream 7,121482103,2026,scream 7
634,Superbad,121463226,2007,superbad
635,Speed,121248145,1994,speed
636,50 First Dates,120908074,2004,50 first dates
637,Mamma Mia! Here We Go Again,120634935,2018,mamma mia! here we go again
638,Mulan,120620254,1998,mulan
639,Inglourious Basterds,120540719,2009,inglourious basterds
640,Seabiscuit,120277854,2003,seabiscuit
641,Van Helsing,120177084,2004,van helsing
642,Four Christmases,120146040,2008,four christmases
643,I Now Pronounce You Chuck & Larry,120059556,2007,i now pronounce you chuck & larry
644,The Mask,119938730,1994,the mask
645,Cloudy with a Chance of Meatballs 2,119793567,2013,cloudy with a chance of meatballs 2
646,Hook,119654823,1991,hook
647,Blazing Saddles,119616663,1974,blazing saddles
648,Walk the Line,119519402,2005,walk the line
649,G-Force,119436770,2009,g-force
650,Total Recall,119412921,1990,total recall
651,Back to the Future Part II,119361197,1989,back to the future part ii
652,On Golden Pond,119285432,1981,on golden pond
653,The Other Guys,119219978,2010,the other guys
654,Fahrenheit 9/11,119194771,2004,fahrenheit 9/11
655,Hairspray,118946291,2007,hairspray
656,The Sum of All Fears,118907036,2002,the sum of all fears
657,The Break-Up,118703275,2006,the break-up
658,Teenage Mutant Ninja Turtles: Mutant Mayhem,118700272,2023,teenage mutant ninja turtles: mutant mayhem
659,A Series of Unfortunate Events,118634549,2004,a series of unfortunate events
660,Blades of Glory,118594548,2007,blades of glory
661,Salt,118311368,2010,salt
662,Lightyear,118307188,2022,lightyear
663,Basic Instinct,117727224,1992,basic instinct
664,Now You See Me,117723989,2013,now you see me
665,Ford v Ferrari,117624357,2019,ford v ferrari
666,Big Momma's House,117559438,2000,big momma's house
667,Die Hard 2,117540947,1990,die hard 2
668,Horrible Bosses,117538559,2011,horrible bosses
669,The Nun,117481222,2018,the nun
670,Rocky,117235147,1976,rocky
671,Jackass 3D,117229692,2010,jackass 3d
672,Ocean's Thirteen,117154724,2007,ocean's thirteen
673,Jungle Cruise,116987516,2021,jungle cruise
674,S.W.A.T.,116934650,2003,s.w.a.t.
675,The Wolf of Wall Street,116900694,2013,the wolf of wall street
676,Coraline,116896576,2009,coraline
677,8 Mile,116750901,2002,8 mile
678,Double Jeopardy,116741558,1999,double jeopardy
679,The Butler,116632095,2013,the butler
680,Green Lantern,116601172,2011,green lantern
681,Notting Hill,116089678,1999,notting hill
682,The Towering Inferno,116000000,1974,the towering inferno
683,You've Got Mail,115821495,1998,you've got mail
684,Ghost Rider,115802596,2007,ghost rider
685,Remember the Titans,115719751,2000,remember the titans
686,Creed II,115715889,2018,creed ii
687,The Rocky Horror Picture Show,115670886,1975,the rocky horror picture show
688,District 9,115646235,2009,district 9
689,Unbroken,115637895,2014,unbroken
690,Peter Rabbit,115253424,2018,peter rabbit
691,Big,115227281,1988,big
692,Girls Trip,115171585,2017,girls trip
693,The Karate Kid Part II,115103979,1986,the karate kid part ii
694,American Graffiti,115000000,1973,american graffiti
695,Dumbo,114766307,2019,dumbo
696,Fifty Shades Darker,114581250,2017,fifty shades darker
697,Dodgeball: A True Underdog Story,114326736,2004,dodgeball: a true underdog story
698,The Village,114197520,2004,the village
699,Bolt,114053579,2008,bolt
700,Maleficent: Mistress of Evil,113929605,2019,maleficent: mistress of evil
701,Wild Wild West,113804681,1999,wild wild west
702,Magic Mike,113781613,2012,magic mike
703,Night at the Museum: Secret of the Tomb,113746621,2014,night at the museum: secret of the tomb
704,The Addams Family,113502426,1991,the addams family
705,Ghostbusters: Frozen Empire,113376590,2024,ghostbusters: frozen empire
706,The Patriot,113330342,2000,the patriot
707,Bad Moms,113257297,2016,bad moms
708,The Bourne Legacy,113203870,2012,the bourne legacy
709,The Pacifier,113086868,2005,the pacifier
710,Dr. Dolittle 2,112952899,2001,dr. dolittle 2
711,It's Complicated,112735375,2009,it's complicated
712,Spy Kids,112719001,2001,spy kids
713,Ghostbusters II,112494738,1989,ghostbusters ii
714,Face/Off,112276146,1997,face/off
715,The Hangover Part III,112200072,2013,the hangover part iii
716,Twins,111938388,1988,twins
717,Spy Kids 3: Game Over,111761982,2003,spy kids 3: game over
718,Doctor Zhivago,111721910,1965,doctor zhivago
719,Enemy of the State,111549836,1998,enemy of the state
720,The Little Mermaid,111543479,1989,the little mermaid
721,Mr. Peabody & Sherman,111506430,2014,mr. peabody & sherman
722,IF,111375918,2024,if
723,Porky's,111289673,1982,porky's
724,The Last Samurai,111127263,2003,the last samurai
725,Glass,111048468,2019,glass
726,Spy,110825712,2015,spy
727,Valentine's Day,110528528,2010,valentine's day
728,Tropic Thunder,110515313,2008,tropic thunder
729,Godzilla: King of the Monsters,110500138,2019,godzilla: king of the monsters
730,The Grudge,110359362,2004,the grudge
731,Fun with Dick and Jane,110332737,2005,fun with dick and jane
732,Freaky Friday,110230332,2003,freaky friday
733,Trainwreck,110225700,2015,trainwreck
734,Bedtime Stories,110101975,2008,bedtime stories
735,Scary Movie 3,110003217,2003,scary movie 3
736,Creed,109778883,2015,creed
737,Star Trek IV: The Voyage Home,109713132,1986,star trek iv: the voyage home
738,The 40-Year-Old Virgin,109484237,2005,the 40-year-old virgin
739,Crocodile Dundee II,109306210,1988,crocodile dundee ii
740,Couples Retreat,109204945,2009,couples retreat
741,One Flew Over the Cuckoo's Nest,108981275,1975,one flew over the cuckoo's nest
742,Dune: Part One,108897830,2021,dune: part one
743,A Time to Kill,108766007,1996,a time to kill
744,Black Hawk Down,108638745,2001,black hawk down
745,Hop,108498305,2011,hop
746,Terms of Endearment,108423489,1983,terms of endearment
747,Scream VI,108391107,2023,scream vi
748,Ace Ventura: When Nature Calls,108385533,1995,ace ventura: when nature calls
749,The Upside,108252517,2019,the upside
750,The Princess Diaries,108248956,2001,the princess diaries
751,Superman II,108185706,1981,superman ii
752,The Flash,108133313,2023,the flash
753,Little Women,108101214,2019,little women
754,Pulp Fiction,107928762,1994,pulp fiction
755,Paranormal Activity,107918810,2009,paranormal activity
756,Baby Driver,107825862,2017,baby driver
757,Black Swan,107770258,2010,black swan
758,A League of Their Own,107533928,1992,a league of their own
759,Epic,107518682,2013,epic
760,Watchmen,107509799,2009,watchmen
761,The Angry Birds Movie,107509366,2016,the angry birds movie
762,Batman & Robin,107353792,1997,batman & robin
763,Captain Phillips,107100855,2013,captain phillips
764,Chicken Run,107071709,2000,chicken run
765,Analyze This,106885658,1999,analyze this
766,Miss Congeniality,106807667,2000,miss congeniality
767,Indecent Proposal,106614059,1993,indecent proposal
768,Driving Miss Daisy,106593296,1989,driving miss daisy
769,300: Rise of an Empire,106580051,2014,300: rise of an empire
770,Love Story,106550690,1970,love story
771,GoldenEye,106429941,1995,goldeneye
772,Kramer vs. Kramer,106260000,1979,kramer vs. kramer
773,The Italian Job,106128601,2003,the italian job
774,The Lego Movie 2: The Second Part,105956290,2019,the lego movie 2: the second part
775,Smile,105935048,2022,smile
776,How to Lose a Guy in 10 Days,105813373,2003,how to lose a guy in 10 days
777,The First Wives Club,105489203,1996,the first wives club
778,The Lost City,105344029,2022,the lost city
779,Alien: Romulus,105313091,2024,alien: romulus
780,Robin Hood,105269730,2010,robin hood
781,Interview with the Vampire,105264608,1994,interview with the vampire
782,George of the Jungle,105263257,1997,george of the jungle
783,Hustlers,104963598,2019,hustlers
784,The Graduate,104945305,1967,the graduate
785,Pitch Perfect 3,104897530,2017,pitch perfect 3
786,Phenomenon,104636382,1996,phenomenon
787,American Wedding,104565114,2003,american wedding
788,Road to Perdition,104454762,2002,road to perdition
789,The Princess and the Frog,104400899,2009,the princess and the frog
790,The Chronicles of Narnia: The Voyage of the Dawn Treader,104386950,2010,the chronicles of narnia: the voyage of the dawn treader
791,Daddy Day Care,104297061,2003,daddy day care
792,Daddy's Home 2,104029443,2017,daddy's home 2
793,Paranormal Activity 3,104028807,2011,paranormal activity 3
794,Journey 2: The Mysterious Island,103887748,2012,journey 2: the mysterious island
795,The Mule,103804407,2018,the mule
796,Dick Tracy,103738726,1990,dick tracy
797,Rise of the Guardians,103412758,2012,rise of the guardians
798,Bullet Train,103368602,2022,bullet train
799,Dreamgirls,103365956,2006,dreamgirls
800,9 to 5,103290500,1980,9 to 5
801,Trolls Band Together,103270155,2023,trolls band together
802,Independence Day: Resurgence,103144286,2016,independence day: resurgence
803,GOAT,103071341,2026,goat
804,The Expendables,103068524,2010,the expendables
805,Scream,103046663,1996,scream
806,Just Go with It,103028109,2011,just go with it
807,Murder on the Orient Express,102826543,2017,murder on the orient express
808,The General's Daughter,102705852,1999,the general's daughter
809,Casper,102677077,1995,casper
810,The Aviator,102610330,2004,the aviator
811,American Pie,102561004,1999,american pie
812,Daredevil,102543518,2003,daredevil
813,The Conjuring 2,102516140,2016,the conjuring 2
814,The Girl with the Dragon Tattoo,102515793,2011,the girl with the dragon tattoo
815,The Mummy: Tomb of the Dragon Emperor,102491776,2008,the mummy: tomb of the dragon emperor
816,The Maze Runner,102427862,2014,the maze runner
817,In the Line of Fire,102314823,1993,in the line of fire
818,Butch Cassidy and the Sundance Kid,102308889,1969,butch cassidy and the sundance kid
819,Mary Poppins,102272727,1964,mary poppins
820,Bambi,102247150,1942,bambi
821,Annabelle: Creation,102092201,2017,annabelle: creation
822,The Equalizer 2,102084362,2018,the equalizer 2
823,Jackass Presents: Bad Grandpa,102003019,2013,jackass presents: bad grandpa
824,Seven,101871174,1995,seven
825,Pacific Rim,101802906,2013,pacific rim
826,Journey to the Center of the Earth,101704370,2008,journey to the center of the earth
827,Gone in 60 Seconds,101648571,2000,gone in 60 seconds
828,Maverick,101631272,1994,maverick
829,Sleeping with the Enemy,101599005,1991,sleeping with the enemy
830,The Equalizer,101530738,2014,the equalizer
831,This Is the End,101470202,2013,this is the end
832,Eagle Eye,101440743,2008,eagle eye
833,The Prince of Egypt,101413188,1998,the prince of egypt
834,Scream 2,101363301,1997,scream 2
835,Stir Crazy,101300000,1980,stir crazy
836,Eraser,101295562,1996,eraser
837,Noah,101200044,2014,noah
838,Unforgiven,101167799,1992,unforgiven
839,The Cat in the Hat,101149285,2003,the cat in the hat
840,Con Air,101117573,1997,con air
841,Sleepy Hollow,101071502,1999,sleepy hollow
842,Rampage,101028233,2018,rampage
843,Collateral,101005703,2004,collateral
844,Contact,100920329,1997,contact
845,Godzilla vs. Kong,100916094,2021,godzilla vs. kong
846,Charlie's Angels: Full Throttle,100830111,2003,charlie's angels: full throttle
847,The Pelican Brief,100768056,1993,the pelican brief
848,The Addams Family,100723831,2019,the addams family
849,Vanilla Sky,100618344,2001,vanilla sky
850,Arrival,100546139,2016,arrival
851,Due Date,100539043,2010,due date
852,Jumanji,100499940,1995,jumanji
853,The Rugrats Movie,100494675,1998,the rugrats movie
854,Million Dollar Baby,100492203,2004,million dollar baby
855,Airport,100489151,1970,airport
856,A Wrinkle in Time,100478608,2018,a wrinkle in time
857,Step Brothers,100468793,2008,step brothers
858,Evan Almighty,100462298,2007,evan almighty
859,Fifty Shades Freed,100407760,2018,fifty shades freed
860,Shakespeare in Love,100317794,1998,shakespeare in love
861,Bad Teacher,100292856,2011,bad teacher
862,Yogi Bear,100246011,2010,yogi bear
863,Cowboys & Aliens,100240551,2011,cowboys & aliens
864,Kingsman: The Golden Circle,100234838,2017,kingsman: the golden circle
865,Edge of Tomorrow,100206256,2014,edge of tomorrow
866,The Hunchback of Notre Dame,100138851,1996,the hunchback of notre dame
867,Parenthood,100047830,1989,parenthood
868,You Don't Mess with the Zohan,100018837,2008,you don't mess with the zohan
869,Passengers,100014699,2016,passengers
870,Die Hard with a Vengeance,100012499,1995,die hard with a vengeance
871,Gnomeo & Juliet,99967670,2011,gnomeo & juliet
872,Christopher Robin,99215042,2018,christopher robin
873,Hercules,99112101,1997,hercules
874,Olympus Has Fallen,98925640,2013,olympus has fallen
875,The Green Hornet,98780042,2011,the green hornet
876,Date Night,98711404,2010,date night
877,The Color Purple,98467863,1985,the color purple
878,Dog Man,97970355,2025,dog man
879,Meet the Robinsons,97822171,2007,meet the robinsons
880,Yes Man,97690976,2008,yes man
881,Sausage Party,97685686,2016,sausage party
882,The Bad Guys,97459240,2022,the bad guys
883,Inspector Gadget,97403112,1999,inspector gadget
884,Public Enemies,97104620,2009,public enemies
885,Red One,97000759,2024,red one
886,Bob Marley: One Love,96981216,2024,bob marley: one love
887,The Social Network,96962694,2010,the social network
888,Schindler's List,96898818,1993,schindler's list
889,Downton Abbey,96853865,2019,downton abbey
890,The Others,96578502,2001,the others
891,Legally Blonde,96520674,2001,legally blonde
892,Panic Room,96397334,2002,panic room
893,Rocketman,96368160,2019,rocketman
894,Encanto,96093622,2021,encanto
895,Apocalypse Now,96074376,1979,apocalypse now
896,Marty Supreme,96020307,2025,marty supreme
897,Dead Poets Society,95860116,1989,dead poets society
898,Fantastic Beasts: The Secrets of Dumbledore,95850844,2022,fantastic beasts: the secrets of dumbledore
899,Zero Dark Thirty,95720716,2012,zero dark thirty
900,Norbit,95673607,2007,norbit
901,Cold Mountain,95636509,2003,cold mountain
902,Nosferatu,95608235,2024,nosferatu
903,Arthur,95461682,1981,arthur
904,Sex and the City 2,95347692,2010,sex and the city 2
905,Michael,95318203,1996,michael
906,The Princess Diaries 2: Royal Engagement,95170481,2004,the princess diaries 2: royal engagement
907,M3GAN,95159005,2023,m3gan
908,42,95059709,2013,42
909,Unbreakable,95011339,2000,unbreakable
910,The Book of Eli,94835059,2010,the book of eli
911,"10,000 BC",94784201,2008,"10,000 bc"
912,The Nightmare Before Christmas,94707435,1993,the nightmare before christmas
913,Beverly Hills Chihuahua,94514402,2008,beverly hills chihuahua
914,Saturday Night Fever,94213184,1977,saturday night fever
915,Freakier Friday,94186236,2025,freakier friday
916,Julie & Julia,94125426,2009,julie & julia
917,The Mask of Zorro,94095523,1998,the mask of zorro
918,Maid in Manhattan,94011225,2002,maid in manhattan
919,He's Just Not That Into You,93953653,2009,he's just not that into you
920,Master and Commander: The Far Side of the World,93927920,2003,master and commander: the far side of the world
921,Flight,93772375,2012,flight
922,DC League of Super-Pets,93657117,2022,dc league of super-pets
923,The Fighter,93617009,2010,the fighter
924,America's Sweethearts,93607673,2001,america's sweethearts
925,Lady and the Tramp,93602326,1955,lady and the tramp
926,Dungeons & Dragons: Honor Among Thieves,93549650,2023,dungeons & dragons: honor among thieves
927,The Bucket List,93466502,2007,the bucket list
928,Tomorrowland,93436322,2015,tomorrowland
929,The Magnificent Seven,93432655,2016,the magnificent seven
930,Cats & Dogs,93385515,2001,cats & dogs
931,Space Station 3D,93383953,2002,space station 3d
932,Two Weeks Notice,93354851,2002,two weeks notice
933,Red Dragon,93149898,2002,red dragon
934,Cinderella,93141149,1950,cinderella
935,When Harry Met Sally...,93117425,1989,when harry met sally...
936,Elysium,93050117,2013,elysium
937,Flubber,92977226,1997,flubber
938,Flashdance,92921203,1983,flashdance
939,The Fall Guy,92900355,2024,the fall guy
940,The Equalizer 3,92373751,2023,the equalizer 3
941,The Town,92186262,2010,the town
942,Non-Stop,92168600,2014,non-stop
943,The Client,92115211,1994,the client
944,Blade Runner 2049,92071675,2017,blade runner 2049
945,John Wick: Chapter 2,92029184,2017,john wick: chapter 2
946,Star Trek: First Contact,92027888,1996,star trek: first contact
947,Halloween Kills,92002155,2021,halloween kills
948,The Garfield Movie,91956547,2024,the garfield movie
949,Think Like a Man,91547205,2012,think like a man
950,Kindergarten Cop,91457688,1990,kindergarten cop
951,Heaven Is for Real,91443253,2014,heaven is for real
952,The Haunting,91411151,1999,the haunting
953,Crimson Tide,91387195,1995,crimson tide
954,Back to School,91258000,1986,back to school
955,Ride Along 2,91221830,2016,ride along 2
956,Stepmom,91137662,1998,stepmom
957,The Imitation Game,91125683,2014,the imitation game
958,Predator: Badlands,91083631,2025,predator: badlands
959,The Karate Kid,91077276,1984,the karate kid
960,Save the Last Dance,91057006,2001,save the last dance
961,The Scorpion King,91047077,2002,the scorpion king
962,Prince of Persia: The Sands of Time,90759676,2010,prince of persia: the sands of time
963,Antz,90757863,1998,antz
964,Scary Movie 4,90710620,2006,scary movie 4
965,The Game Plan,90648202,2007,the game plan
966,Space Jam,90594962,1996,space jam
967,"Me, Myself & Irene",90570999,2000,"me, myself & irene"
968,High School Musical 3: Senior Year,90559416,2008,high school musical 3: senior year
969,Madea Goes to Jail,90508336,2009,madea goes to jail
970,Space Cowboys,90464773,2000,space cowboys
971,Get Hard,90411453,2015,get hard
972,Trading Places,90404800,1983,trading places
973,RED,90380162,2010,red
974,Planes,90288712,2013,planes
975,Where the Crawdads Sing,90230760,2022,where the crawdads sing
976,"Legally Blonde 2: Red, White & Blonde",90186328,2003,"legally blonde 2: red, white & blonde"
977,Mystic River,90135191,2003,mystic river
978,The Black Phone,90123230,2022,the black phone
979,Terminator Genisys,89760956,2015,terminator genisys
980,Flightplan,89707299,2005,flightplan
981,The Emperor's New Groove,89636687,2000,the emperor's new groove
982,Father of the Bride,89325780,1991,father of the bride
983,The Lone Ranger,89302115,2013,the lone ranger
984,Taken 3,89256424,2015,taken 3
985,Don't Breathe,89217875,2016,don't breathe
986,Scream 3,89143175,2000,scream 3
987,Oblivion,89107235,2013,oblivion
988,The Ugly Truth,88915214,2009,the ugly truth
989,Percy Jackson & the Olympians: The Lightning Thief,88768303,2010,percy jackson & the olympians: the lightning thief
990,Failure to Launch,88715192,2006,failure to launch
991,The Muppets,88631237,2011,the muppets
992,Inside Man,88513495,2006,inside man
993,Anyone But You,88319668,2023,anyone but you
994,Back to the Future Part III,88277583,1990,back to the future part iii
995,Waterworld,88246220,1995,waterworld
996,Starsky & Hutch,88237754,2004,starsky & hutch
997,Along Came Polly,88097164,2004,along came polly
998,The Hand That Rocks the Cradle,88036683,1992,the hand that rocks the cradle
999,Entrapment,87704396,1999,entrapment
1000,Peter Pan,87404651,1953,peter pan
